product_name,quantity,nutrition-score-fr_100g,nutriscore_score,nutriscore_grade,brands,origins,ingredients_text,countries,labels,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,additives,vitamin-c_100g,nova_group,pnns_groups_1,pnns_groups_2
100% pur jus orange sans pulpe,1000 ml,3.0,3.0,c,Paquito,0,Jus d'orange,France,0,43.0,0.5,0.1,10.1,8.5,0.004,0.0,0.02,1.0,Beverages,Fruit juices
100% pur jus orange de Floride,1 L,4.0,4.0,c,"Paquito,Intermarché","Floride,Etats-Unis",jus d'orange.,France,0,47.0,0.5,0.1,11.0,10.0,0.004,0.0,0.02,1.0,Beverages,Fruit juices
100% pur jus orange sans pulpe,2 L,3.0,3.0,c,"Paquito,Sélection Intermarché","St Martin d'Abbat,Loiret,France",jus d'orange,France,"Labels de distributeurs, en:FSC, en:fsc-c014047, FSC Mix, Sans sucre ajouté, Sélection Intermarché ",45.0,0.5,0.1,10.1,8.8,0.004,0.0,0.02,1.0,Beverages,Fruit juices
100 % Pur jus pressé orange avec pulpe,1000 ml,2.0,2.0,c,"Paquito,Sélection des Mousquetaires,Les Mousquetaires",0,"Jus d'orange, pulpe 3%.",France,"Labels de distributeurs, en:FSC, Point Vert, Sélection Intermarché, 100 %  Pur Jus Pressé, Avec Pulpe, Cueillies à la main, Eco-Emballages, Naturellement riche en vitamine C ",41.0,0.0,0.0,9.4,8.5,0.0,0.0,0.02,1.0,Beverages,Fruit juices
100% pur jus orange avec pulpe,1500 ml,4.0,4.0,c,Paquito,0,"Jus d'orange, pulpe 2%.",France,"Peu ou pas de sucre, Labels de distributeurs, Sans sucre ajouté, Sélection Intermarché",47.0,0.5,0.1,11.0,10.0,0.004,0.0,0.02,1.0,Beverages,Fruit juices
100% pur jus orange avec pulpe,1000 ml,4.0,4.0,c,"Paquito (Intermarché),paquito",0,"Jus d'orange, pulpes 2%",France,0,48.0,0.5,0.1,11.1,9.5,0.004,0.0,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange avec pulpe bio,1000 ml,4.0,4.0,c,Paquito,agro bio,"Jus d'orange“, pulpe&quot; (3%). *Ingrédients issus de l'agriculture biologique.",France,"Bio, Labels de distributeurs, Bio européen, FR-BIO-01, AB Agriculture Biologique, Sélection Intermarché ",47.0,0.5,0.1,11.0,9.4,0.004,0.0,0.0,1.0,Beverages,Fruit juices
Jus d'orange 100% pur jus 2L,0,3.0,3.0,c,Netto,0,JUS D'ORANGE INGRÉDIENT : JUS d'orange.,France,0,45.0,0.5,0.1,10.1,8.8,0.004,0.0,0.0,1.0,Beverages,Fruit juices
", 100% pur jus d'orange, les 2 bouteilles de 1l 2 l",0,4.0,4.0,c,0,0,0,France,0,44.0,0.5,0.1,10.0,10.0,0.04,0.0,0.0,0.0,Beverages,Fruit juices
100% pur jus orange sanguine avec pulpe,1000 g,3.0,3.0,c,Paquito,0,"Jus d'orange sanguine, pulpe 3%",France,Sans sucre ajouté,49.0,0.0,0.0,11.0,8.6,0.0,0.0,0.012,1.0,Beverages,Fruit juices
100% pur jus - jus d'orange avec pulpe,1 L,4.0,4.0,c,Paquito,0,"Jus d'orange, pulpe (3%)",France,0,46.0,0.5,0.1,10.8,9.8,0.004,0.0,0.02,1.0,Beverages,Fruit juices
Paquito Jus d'orange 100% pur jus sans pulpe la brique de 2 l,0,4.0,4.0,c,Paquito,0,0,France,0,44.0,0.5,0.1,12.2,9.2,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus orange avec pulpe,0,12.0,12.0,e,Paquito,0,0,France,0,37.0,0.5,0.1,8.4,8.3,0.004,0.0,0.0,0.0,unknown,unknown
100% pur jus orange sans pulpe,0,2.0,2.0,c,Paquito,0,Jus d'orange,France,0,42.0,0.5,0.1,8.7,8.7,0.004,0.0,0.0,1.0,Beverages,Unsweetened beverages
100% pur jus - jus d'orange mandarine raisin bio,1 L,6.0,6.0,d,Paquito,0,"jus d'orange (39,5 %), jus de mandarine (30 %), jus de raisin blanc (30 %), jus de citron (0,5 %).",France,"Bio, Bio européen, FR-BIO-01, AB Agriculture Biologique ",53.0,0.5,0.1,12.5,11.5,0.004,0.0,0.0,1.0,Beverages,Fruit juices
100% pur jus d'orange sans pulpe bio,0,3.0,3.0,c,Paquito,0,0,France,Sans sucre ajouté,39.0,0.5,0.1,9.4,9.4,0.004,0.0,0.0,0.0,Beverages,Fruit juices
"Jus d'orange A base de jus d'orange concentré, 1L",1 L,3.0,3.0,c,Récré,0,0,France,Sans sucre ajouté,44.0,0.0,0.0,10.2,9.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Jus d'orange à base de jus d'orange concentré,20 cl,3.0,3.0,c,Brici,0,0,France,"Peu ou pas de sucre, en:FSC, en:fsc-c014047, FSC Mix, Sans sucre ajouté ",44.0,0.0,0.0,10.199999809265,9.0,0.0,0.0,0.02,0.0,Beverages,Fruit juices
Lot 6 Recre 100% jus d'orange 20CL,0,10.0,10.0,e,0,0,0,France,"Sans sucre ajouté, Sans colorants, Sans conservateurs",65.0,0.0,0.0,16.0,15.0,0.004,0.0,0.0,0.0,Beverages,Fruit juices
Jus d'orange a base de jus concentré,0,5.0,5.0,c,Pressade,0,Jus d'orange à base dejus concentré. *sans sucres ajoutés comme tous les jus de fruits. Contient les sucres naturellement présents dans les fruit',France,Sans sucre ajouté,47.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus d'orange avec pulpe,"1,5 l",3.0,3.0,c,U,0,"Jus d'orange, pulpes d'orange ( 3%).",France,"Nutriscore, Transformé en France, Recyclé plastique",43.0,0.2,0.0,9.4,8.5,0.002,0.0,0.024,1.0,Beverages,Fruit juices
"Pur jus réfrigéré orange, clémentine et raisin blanc",1 l,6.0,6.0,d,U,0,"Jus d'orange 33%, jus de clémentine 32%, jus de raisin 32% et pulpe d'orange 3%.",France,"Bio, en:FSC, Sans colorants, Sans conservateurs, Transformé en France ",50.0,0.5,0.0,12.0,11.0,0.004,0.0,0.015,1.0,Beverages,Fruit juices
Pur jus d'orange,1 l,3.0,3.0,c,U,Hors France,Jus d'orangE 100%.,France,"Peu ou pas de sucre, en:FSC, Sans sucre ajouté, Sans colorants, Sans conservateurs, Nutriscore, Pur jus, Riche en vitamine C, Transformé en France ",47.0,0.1,0.0,11.0,9.0,0.0,0.0,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange,4 x 1 l,3.0,3.0,c,U,0,Jus d'orange.,France,"en:FSC, Nutriscore, Nutriscore C, Conditionné en France, Transformé en France ",47.0,0.1,0.1,11.0,9.0,0.0,0.0,0.0,1.0,Beverages,Fruit juices
Pur jus réfrigéré orange et mangue,1 l,4.0,4.0,c,U,0,"Jus d'orange 80%, purée mangue 20%",France,"en:FSC, Point Vert, Transformé en France, CSI ",45.0,0.5,0.0,10.0,9.6,0.004,0.0,0.016,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,1 l,2.0,2.0,c,U,Espagne,Jus d'orange.,France,"Point Vert, Conditionné en France, Pur jus, Transformé en France, Eco-Emballages, Recyclé plastique, Sans pulpe",42.0,0.5,0.0,9.4,8.7,0.012,0.0,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,4 bouteilles en plastique de 1 l,2.0,2.0,c,U,0,Jus d'orange. L'ingrédient de ce produit ne provient pas de la France,France,"Conditionné en France, Transformé en France, Recyclé plastique",41.0,0.5,0.0,9.4,8.7,0.012,0.0,0.02,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,1 l,4.0,4.0,c,"U Bio, U",Espagne,Jus d'orange sans pulpe*. *ingrédient issu de l'agriculture biologique.,France,"Bio, Bio européen, AB Agriculture Biologique, Agriculture UE/Non UE, en:FSC, Sans sucre ajouté, Sans colorants, Sans conservateurs ",45.0,0.5,0.1,11.0,10.0,0.004,0.0,0.02,1.0,Beverages,Sweetened beverages
Pur jus d'orange des Amériques,4 x 1 l,3.0,3.0,c,U,0,Jus d'orange,France,"en:FSC, Transformé en France ",43.0,0.0,0.0,10.0,8.0,0.012,0.0,0.0,1.0,Beverages,Fruit juices
Pur jus d'orange sans pulpe,1 l,1.0,1.0,b,U,0,Jus d'orange sans pulpe.,France,"en:FSC, Sans colorants ",35.0,0.5,0.1,8.1,8.1,0.004,0.0,0.024,1.0,Beverages,Fruit juices
Pur jus orange mandarine raisin blanc,2 l,6.0,6.0,d,U,0,Jus d'orange de mandarine et de raisin blanc.,France,"en:FSC,Transformé en France",50.0,0.5,0.1,11.0,11.0,0.004,0.0,0.02,0.0,Beverages,Fruit juices
Pur jus d'orange des Amériques,1 l,3.0,3.0,c,U,Amériques,Jus d'orange,France,"en:FSC, Point Vert, Transformé en France ",43.0,0.0,0.0,10.0,8.0,0.012,0.0,0.0,1.0,Beverages,Fruit juices
